date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,879.38,888.0,869.11,879.19,879.19,2649823,2649823,-0.19,-0.02160613,878.92,"January 07, 25",-0.0002160613
2025-01-08,880.0,886.22,873.0,875.0,875.0,2347949,2347949,-5.0,-0.56818,878.555,"January 08, 25",-0.0056818
2025-01-10,866.4,866.41,834.4,837.69,837.69,4803312,4803312,-28.71,-3.31,851.225,"January 10, 25",-0.033100000000000004
2025-01-13,831.53,847.07,829.14,840.29,840.29,3024517,3024517,8.76,1.05,837.0075,"January 13, 25",0.0105
2025-01-14,843.2,844.89,823.52,828.4,828.4,3037700,3037700,-14.8,-1.76,835.0025,"January 14, 25",-0.0176
2025-01-15,836.44,850.84,830.41,848.26,848.26,3181400,3181400,11.82,1.4100000000000001,841.4875,"January 15, 25",0.014100000000000001
2025-01-16,860.96,868.98,842.02,842.37,842.37,4028537,4028537,-18.59,-2.16,853.5825,"January 16, 25",-0.0216
2025-01-17,859.79,865.0,852.13,858.1,858.1,3617600,3617600,-1.69,-0.19656,858.755,"January 17, 25",-0.0019656
2025-01-21,863.53,916.4,854.75,869.68,869.68,9851400,9851400,6.15,0.7121900000000001,876.09,"January 21, 25",0.0071219
2025-01-22,998.03,999.0,950.76,953.99,953.99,14273205,14273205,-44.03,-4.41,975.445,"January 22, 25",-0.0441
2025-01-23,957.81,985.0,953.9,984.86,984.86,7752137,7752137,27.05,2.8200000000000003,970.3925,"January 23, 25",0.028200000000000003
2025-01-24,984.41,986.28,967.68,977.59,977.59,4550400,4550400,-6.82,-0.6928000000000001,978.99,"January 24, 25",-0.006927999999999999
2025-01-27,971.1,982.27,960.26,971.89,971.89,4634204,4634204,0.79,0.08135105000000001,971.38,"January 27, 25",0.0008135105
2025-01-28,966.71,977.93,957.3,971.83,971.83,3434000,3434000,5.12,0.52963,968.4425,"January 28, 25",0.0052962999999999994
2025-01-29,980.0,987.64,968.23,978.15,978.15,2930728,2930728,-1.85,-0.18878,978.505,"January 29, 25",-0.0018877999999999998
2025-01-30,986.75,994.59,970.01,973.24,973.24,3867825,3867825,-13.51,-1.37,981.1475,"January 30, 25",-0.0137
2025-01-31,974.0,990.29,974.0,976.76,976.76,3618718,3618718,2.76,0.28337,978.7625,"January 31, 25",0.0028336999999999998
2025-02-03,973.0,987.69,964.38,978.94,978.94,3724200,3724200,5.94,0.61048,976.0025,"February 03, 25",0.0061048
2025-02-04,980.47,1008.0,978.51,994.87,994.87,6000137,6000137,14.4,1.47,990.4625,"February 04, 25",0.014700000000000001
